#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_legio_xii_fulminata;Legio XII Fulminata;;;;;;;;;;;;;x
c_legio_xii_fulminata_adj;Legio XII Fulminata;;;;;;;;;;;;;x
COMES;Comes;;;;;;;;;;;;;x
COMES_FOA;Comes;;;;;;;;;;;;;x
c_legio_ii_flavia_constantia;Legio II Flavia Constantia;;;;;;;;;;;;;x
c_legio_i_flavia_constantia;Legio I Flavia Constantia;;;;;;;;;;;;;x
c_legio_i_isaura_sagittaria;Legio I Isaura Sagittaria;;;;;;;;;;;;;x
c_legio_i_iovia;Legio I Iovia;;;;;;;;;;;;;x
c_legio_ii_herculia;Legio II Herculia;;;;;;;;;;;;;x
c_legio_ii_isaura;Legio II Isaura;;;;;;;;;;;;;x
c_legio_iii_diocletiana;Legio III Diocletiana;;;;;;;;;;;;;x
c_legio_iv_parthica;Legio IV Parthica;;;;;;;;;;;;;x
c_legio_iv_italica;Legio IV Italica;;;;;;;;;;;;;x
c_legio_ii_iulia_alpina;Legio II Iulia Alpina;;;;;;;;;;;;;x
c_legio_iii_herculea;Legio III Herculea;;;;;;;;;;;;;x
c_legio_iv_martia;Legio IV Martia;;;;;;;;;;;;;x
c_legio_ii_felix_valentis_thebaeorum;Legio II Valentis Thebaeorum;;;;;;;;;;;;;x
c_legio_i_flavia_theodosiana;Legio I Flavia Theodosiana;;;;;;;;;;;;;x
c_legio_i_maximiana_thaebanorum;Legio I Maximiana Thaebanorum;;;;;;;;;;;;;x
c_legio_ii_flavia_constantia_adj;Legio II Flavia Constantia;;;;;;;;;;;;;x
c_legio_i_flavia_constantia_adj;Legio I Flavia Constantia;;;;;;;;;;;;;x
c_legio_i_isaura_sagittaria_adj;Legio I Isaura Sagittaria;;;;;;;;;;;;;x
c_legio_i_iovia_adj;Legio I Iovia;;;;;;;;;;;;;x
c_legio_ii_herculia_adj;Legio II Herculia;;;;;;;;;;;;;x
c_legio_ii_isaura_adj;Legio II Isaura;;;;;;;;;;;;;x
c_legio_iii_diocletiana_adj;Legio III Diocletiana;;;;;;;;;;;;;x
c_legio_iv_parthica_adj;Legio IV Parthica;;;;;;;;;;;;;x
c_legio_iv_italica_adj;Legio IV Italica;;;;;;;;;;;;;x
c_legio_ii_iulia_alpina_adj;Legio II Iulia Alpina;;;;;;;;;;;;;x
c_legio_iii_herculea_adj;Legio III Herculea;;;;;;;;;;;;;x
c_legio_iv_martia_adj;Legio IV Martia;;;;;;;;;;;;;x
c_legio_ii_felix_valentis_thebaeorum_adj;Legio II Valentis Thebaeorum;;;;;;;;;;;;;x
c_legio_i_flavia_theodosiana_adj;Legio I Flavia Theodosiana;;;;;;;;;;;;;x
c_legio_i_maximiana_thaebanorum_adj;Legio I Maximiana Thaebanorum;;;;;;;;;;;;;x
c_legio_i_dalmatia;Legio I Dalmatia;;;;;;;;;;;;;x
c_legio_i_dalmatia_adj;Legio I Dalmatian;;;;;;;;;;;;;x
c_legio_ii_dalmatia;Legio II Dalmatia;;;;;;;;;;;;;x
c_legio_ii_dalmatia_adj;Legio II Dalmatian;;;;;;;;;;;;;x
c_legio_iii_dalmatia;Legio III Dalmatia;;;;;;;;;;;;;x
