tolerant_ruler;Tolerant Ruler;;;;;;;;;;;;;x
tolerant_ruler_desc;This ruler has approved crown laws granting freedom of cult under their realm. In their realm, heretics and heathens are allowed to freely follow their customs and rites, without fear of persecution. The tolerant regime brings great peace and loyalty among heathen subjects, but alienates the sympathies of the more zealous members of the ruler's own religion.;;;;;;;;;;;;;x
doubted_faith;Doubted Faith;;;;;;;;;;;;;x
blasphemy;Blasphemy;;;;;;;;;;;;;x
opinion_only_true_faith;Defender of True Faith;;;;;;;;;;;;;x
opinion_fanatic_oppressor;Fanatic Oppressor;;;;;;;;;;;;;x
opinion_crazy_tolerant;Blasphemous;;;;;;;;;;;;;x
opinion_wise_tolerant;Considerate Rule;;;;;;;;;;;;;x
opinion_blasphemous_ruler;Blasphemous;;;;;;;;;;;;;x
opinion_blasphemous_apostate;Blasphemous;;;;;;;;;;;;;x
opinion_killed_predecessor;Killed predecessor;;;;;;;;;;;;x
opinion_forced_lifting;Forced lifting;;;;;;;;;;;;x
forced_lifting;Forced lifting;;;;;;;;;;;;x
attacked_the_pope;Attacked the pope;;;;;;;;;;;;x
pope_under_attack;Pope under attack;;;;;;;;;;;;x
EVTDESCdemand_conversion.1;Dear [Root.GetTitledFirstName],\nAs your liege, I request and require that you convert to the True Faith, [FromFrom.Religion.GetName].\n\n[FromFrom.GetBestName];;;;;;;;;x
EVTOPTAdemand_conversion.1;I will submit to your will.;;;;;;;;;x
EVTOPTBdemand_conversion.1;Ridiculous!;;;;;;;;;x
EVTDESCrelf0001;In your realm people of different faiths are allowed to freely follow their customs and rites, without fear of persecution.;;;;;;;;;;;;;x
EVTDESCrelf0002;There was a time when your realm allowed foreign cults in its border, but that time is passed.;;;;;;;;;;;;;x
EVTDESCrelf0003;In the last days you've developed a new fervour for your religious beliefs, is it really just to freely allow heathen teachings inside your realm?;;;;;;;;;;;;;x
EVTOPTArelf.1;That's not my policy.;;;;;;;;;;;;;x
EVTOPTBrelf.1;Why can't we all get along?;;;;;;;;;;;;;x
EVTOPTArelf.2;One rule, one faith.;;;;;;;;;;;;;x
EVTOPTArelf.3;Maybe I should be more tolerant...?;;;;;;;;;;;;;x
EVTOPTBrelf.3;No compromise when eternity is concerned!;;;;;;;;;;;;;x
#Sectarianism;;;;;;;;;;;;;x
EVTDESC664350200;Infidels despise us because of our faith.;;;;;;;;;;;;;x
EVTOPTA664350200;Then we'll support each other!;;;;;;;;;;;;;x
EVTDESC664350201;Since my conversion, I don't feel the same solidarity I once felt with the community anymore.;;;;;;;;;;;;;x
EVTOPTA664350201;I think it's time to move on;;;;;;;;;;;;;x
EVTDESC664350202;Infidels hate us because of our faith.;;;;;;;;;;;;;x
EVTOPTA664350202;Then we shall never let conflicts within our group weaken us!;;;;;;;;;;;;;x
EVTDESC664350203;Since my conversion, I don't feel the sacred bond that I used to feel with my siblings-in-faith.;;;;;;;;;;;;;x
EVTOPTA664350203;They are an odd group...;;;;;;;;;;;;;x
tried_to_convert_me;Tried to convert me;;;;;;;;;;;;;x
sectarian_light;Communitarian;;;;;;;;;;;;;x
sectarian_light_desc;Communitarian religions are despised by others, but generate a strong solidarity within the community.;;;;;;;;;;;;;x
sectarian_heavy;Sectarian;;;;;;;;;;;;;x
sectarian_heavy_desc;Sectarian religions are hated by others, but generate a sacred bond within the group of the faithful.;;;;;;;;;;;;;x
NOT_SECTARIAN_HEAVY_TOOLTIP;Must NOT be of a Sectarian religion\n;;;;;;;;;;;;;x
SECTARIAN_HEAVY_TOOLTIP;Ruler is of a Sectarian religion\n;;;;;;;;;;;;;x
proselyte_religion_tooltip;Belongs to a Proselyte Religion;;;;;;;;;;;;x
ancestral_religion_tooltip;Belongs to a Traditional Religion;;;;;;;;;;;;x
bastion_religion_tooltip;Belongs to a Bastion of the Faith Religion;;;;;;;;;;;;x
not_bastion_tooltip;Does NOT Belong to a Bastion of the Faith Religion;;;;;;;;;;;;x
sectarian_religion_tooltip;Belongs to a Sectarian Religion;;;;;;;;;;;;;x
