#CODE;I love me some nice silky silk;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
VIET_sogdian_colony;Sogdian Colony;;;;;;;;;;;;;x
VIET_sogdian_colony_desc;A sizeable colony of Sogdian merchants, adventurers, warriors, nobles, farmers, and others dwell here, contributing to this province's economy.;;;;;;;;;;;;;x
sartapaw;Accomplished Sartapaw;;;;;;;;;;;;;x
sartapaw_desc;This character is a well-known and important Sartapaw, the leader of a local Sogdian community. The term "Sartapaw" originated from a Sanskrit word meaning "Caravan Leader," although the Chinese equivalent, "Sabao," had more administrative connotations.;;;;;;;;;;;;;x
silkroad.1.desc;You have shown ability as a Sartapaw, a local Sogdian leader. Having managed the commercial and diplomatic issues of the community for years, you've gained much experience and insight. The Sogdians may no longer dominate the Silk Road like before, but your ability as a leader shows that the entrepreneurial and adventurous spirit of the Sogdian people endures.;;;;;;;;;;;;;x
silkroad.1.a;May the spirits of our forefathers guide us in these difficult times.;;;;;;;;;;;;;x
silkroad.2.desc;You have shown ability as a Sartapaw, a local Sogdian leader. Having managed the commercial and diplomatic issues of the community for years, you've gained much experience and insight. The Sogdians are beginning to prosper now that the Silk Road has revived, and your ability as a leader is a sign of the Sogdians' enduring entrepreneurial and adventurous spirit.;;;;;;;;;;;;;x
silkroad.2.a;May the Sogdian people prosper!;;;;;;;;;;;;;x
silkroad.3.name;A New Sogdian Colony;;;;;;;;;;;;;x
silkroad.3.desc;Shrewd and opportunistic Sogdians have settled in large numbers in [Root.GetName]. These merchants, farmers, warriors, noblemen, and other colonists bring along with them connections to the massive Sogdian network that sustained the Silk Road. If this colony succeeds, it will bring us much profit and prosperity.;;;;;;;;;;;;;x
silkroad.3.a;Interesting.;;;;;;;;;;;;;x
silkroad.4.name;Sogdian Colony in Decline;;;;;;;;;;;;;x
silkroad.4.desc;The Sogdians in [Root.GetName] are beginning to desert their once prosperous colony in droves. It appears that this colony has failed, unable to bring profit to the greater network of Sogdians. Perhaps this spells trouble for the mighty Silk Road!;;;;;;;;;;;;;x
silkroad.4.a;I see...;;;;;;;;;;;;;x
silkroad.5.name;Sogdian Colony Prospers;;;;;;;;;;;;;x
silkroad.5.desc;The once fledging Sogdian colony in [Root.GetName] has blossomed! In fact, the Sogdians now make up the majority of people in the region.;;;;;;;;;;;;;x
silkroad.5.a;Very well.;;;;;;;;;;;;;x
silkroad.6.desc;Great [Root.GetTitledName], hero, vanquisher, liberator, conqueror, mighty among all men - you have proclaimed the Kingdom of Sogdiana. Driving out the barbaric warlords and invaders who have dominated the Sogdian homeland, you have proven that we Sogdians are not just cowards only good at commerce - we too, have a martial spirit! Sogdiana prevails!;;;;;;;;;;;;;x
silkroad.6.a;And now we can finally start making some real profits again...;;;;;;;;;;;;;x
silkroad.7.name;Triumph of the Merchant Race;;;;;;;;;;;;;x
silkroad.7.desc;Once the Silk Road began to decline, the Sogdians, who once dominated it, began to decline as well. Countless waves of invaders ranging from the Turks to the Arab Muslims trampled over the once-prosperous cities of Samarkand, Bukhara, and others. However, the great and accomplished [Root.GetFirstName] has made a name for [Root.GetHerselfHimself] by uniting many of the Sogdian principalities and cities under the Kingdom of Sogdiana.\n\nNow that Sogdiana is under centralized, stable leadership, it is likely that the Sogdian peoples might be able to reclaim their former glory not just in commercial matters, but military matters as well.;;;;;;;;;;;;;x
silkroad.7.a;It's time for us Sogdians to make some money!;;;;;;;;;;;;;x
silkroad.7.b;I see.;;;;;;;;;;;;;x
silkroad.8.name;The Sogdians Must Endure!;;;;;;;;;;;;;x
silkroad.8.desc;Much of the Silk Road's prosperity was due to the industriousness of the Sogdian people, who held great sway over the commercial and religious networks they established across the ancient trade routes.\n\nRecently, however, with the collapse of both the Tang Dynasty and the Uighur Khanate, and the chaos within the Muslim Caliphate, the Sogdians have no one to protect them, as they had relied on the protection and patronage of powerful realms. This will not do, of course. You wish to revive the Silk Road, and you understand well that it is only possible if you support the Sogdian merchants. You thus establish yourself as their protector and guarantor. With stability in Central Asia, it is hoped that the Sogdians will once again prosper, like in the days of old.;;;;;;;;;;;;;x
silkroad.8.a;We shall see to it that the Silk Road prospers once more!;;;;;;;;;;;;;x
silkroad.9.desc;Terrifying;;;;;;;;;;;;;x
silkroad.9.a;Terrifying;;;;;;;;;;;;;x
silkroad.100.name;Twilight of the Silk Road;;;;;;;;;;;;;x
silkroad.100.desc;The steppes and mountains of Eurasia are growing silent for the first time in millennia. Just a few mere decades and centuries ago, the realms between China and the Mediterranean bustled with commerce and the exchange of ideas.\n\nNow? A few merchants and pilgrims still walk the once-busy routes that criss-cross Eurasia, but they are an insignificant fraction of the massive numbers that once flourished on the Silk Road.\n\nSogdians... Khotanese... Tocharians... and more. The peoples who once prospered from the Silk Road are now shadow of their former selves. With the increasing chaos in the Muslim world, and the collapse of the Tang Dynasty, it seems unlikely that the Silk Road will be able to rise to prominence ever again.;;;;;;;;;;;;;x
silkroad.100.a;I see.;;;;;;;;;;;;;x
