#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
###### Mercenaries, Cassus Belli, retinue, tactics...;;;;;;;;;;;;x
###### Tactics;;;;;;;;;;;;x
woad_raid_tactic;Woad Raid;;;;;;;;;;;x
bait_and_harass;Bait and Swarm;;;;;;;;;;;x
saxon_charge_tactic;Mægenellenáflygennes;;;;;;;;;;;x
###### Retinue;;;;;;;;;;;;x
RETTYPE_CUL_PICTISH;Woad Raider Retinue;;;;;;;;;;;x
RETTYPE_CUL_THUR;Schnurper Band;;;;;;;;;;;x
RETTYPE_CUL_FRANK;Leudes;;;;;;;;;;;x
RETTYPE_CUL_LOMB;Vir Devotii;;;;;;;;;;;x
RETTYPE_CUL_ALAM;Armati;;;;;;;;;;;x
RETTYPE_CUL_GOTH;Hundafaþ;;;;;;;;;;;x
RETTYPE_CUL_BURG;Raider;;;;;;;;;;;x
RETTYPE_CUL_SUEB;Swabaharjaz;;;;;;;;;;;x
RETTYPE_CUL_AFR;Equitum Africanus;;;;;;;;;;;x
RETTYPE_CUL_GAL;Cohortis Gallorum;;;;;;;;;;;x
RETTYPE_CUL_BRIT;Marchogion;;;;;;;;;;;x
RETTYPE_CUL_ARM;Isbeilor;;;;;;;;;;;x
RETTYPE_CUL_GALA;Hurrfiwor;;;;;;;;;;;x
###### CB;;;;;;;;;;;;x
byzantine_invasion_desc;§Y$CLAIMANT$§! can fund a major invasion of the land of §Y$TITLE$§!. If successful, the titles to all currently occupied holdings will be seized.;;;;;;;;;;;x
byzantine_invasion;Campaign for §Y$TITLE$§!;;;;;;;;;;;x
CB_NAME_BYZANTINE_INVASION;Campaign for [Title.GetBaseName];;;;;;;;;;;x
WAR_NAME_BYZANTINE_INVASION;The $ORDER$$SECOND_ADJ$ War;;;;;;;;;;;x
CB_NAME_MIGRATION;Migratory Invasion;;;;;;;;;;;x
WAR_NAME_MIGRATION;$ORDER$$FIRST_ADJ$ Migratory Invasion of $OTHER_TITLE$;;;;;;;;;;;x
migration_desc;The Migration Period, also known as the period of the Barbarian invasions or as the Völkerwanderung, the "migration of peoples" in German was a period of intensified human migration in Europe from about 376 to 800 AD, if you declare a war of migration many young men will flock to your banner! If we win we will gain new lands but our old ones will be lost.\n\nRequirments:\n*You must be Slavic, Tengri, Germanic Pagan or Alan culture\n*You cannot declare a migration war after 800\n*You have not migrated in the last 10 years\n*You are a duke or above\n*You are independent\n*You are not at war\n*The target must be independent;;;;;;;;;;;x
CB_NAME_UNIFICATION;Unification war for [Title.GetBaseName];;;;;;;;;;;x
unification_desc;It is time we bring together the squabbling city states of [Title.GetBaseName] and unify the great Empire under our banner! If we win we will gain all titles in the [Title.GetBaseName] along with any that we can take under our control outside of it.;;;;;;;;;;;x
mirgation_unit_ARMY;Migration Army;;;;;;;;;;;x
mirgation_unit_ARMY_OF;Migration Army of $CHARACTER$;;;;;;;;;;;x
mirgation_fleet_ARMY;Migration Fleet;;;;;;;;;;;x
mirgation_fleet_ARMY_OF;Migration Fleet of $CHARACTER$;;;;;;;;;;;x
ere_imperial_reconquest;Eastern Roman War of Reconquest;;;;;;;;;;;;x
ere_imperial_reconquest_desc;As the Eastern Roman Emperor, you can reconquer the provinces that were lost to barbarians by prior emperors, and go down in history as the one who restored the light of civilization to them.;;;;;;;;;;;;x
CB_NAME_ERE_IMPERIAL_RECONQUEST;Imperial Reconquest of [Title.GetName];;;;;;;;;;;;x
WAR_NAME_ERE_IMPERIAL_RECONQUEST;$ORDER$ $FIRST_ADJ$ Imperial Reconquest of $OTHER_TITLE$;;;;;;;;;;;;x
wre_imperial_reconquest;Western Roman War of Reconquest;;;;;;;;;;;;x
wre_imperial_reconquest_desc;As the Western Roman Emperor, you can reconquer the provinces that were lost to barbarians by prior emperors, and go down in history as the one who restored the light of civilization to them.;;;;;;;;;;;;x
CB_NAME_WRE_IMPERIAL_RECONQUEST;Imperial Reconquest of [Title.GetName];;;;;;;;;;;;x
WAR_NAME_WRE_IMPERIAL_RECONQUEST;$ORDER$ $FIRST_ADJ$ Imperial Reconquest of $OTHER_TITLE$;;;;;;;;;;;;x
sucessor_imperial_reconquest;Sub-Roman War of Reconquest;;;;;;;;;;;;x
sucessor_imperial_reconquest_desc;As the ruler of the legitimate successor state to the Roman Emperor, you can reconquer the provinces that were lost to barbarians by prior emperors, and go down in history as the one who restored the light of civilization to them. ;;;;;;;;;;;;x
CB_NAME_SUCESSOR_IMPERIAL_RECONQUEST;Reconquest of [Title.GetName];;;;;;;;;;;;x
WAR_NAME_SUCESSOR_IMPERIAL_RECONQUEST;$ORDER$ $FIRST_ADJ$ Reconquest of $OTHER_TITLE$;;;;;;;;;;;;x
re_imperial_reconquest;Roman War of Reconquest;;;;;;;;;;;;x
re_imperial_reconquest_desc;As the ruler of the Roman Empire, you can reconquer the provinces that were lost to barbarians by prior emperors, and go down in history as the one who restored the light of civilization to them. ;;;;;;;;;;;;x
CB_NAME_RE_IMPERIAL_RECONQUEST;Imperial Reconquest of [Title.GetName];;;;;;;;;;;;x
WAR_NAME_RE_IMPERIAL_RECONQUEST;$ORDER$ $FIRST_ADJ$ Reconquest of $OTHER_TITLE$;;;;;;;;;;;;x
