north_african;North African;nordafricain;North African;;North African;;;;;;;;;x
bulgar;Bulgar;bulgare;Wolgabulgaren;;Volga-Bolgar;;;;;;;;;x
nubian;Nubian;nubien;Nubier;;Nubio;;;;;;;;;x
pashtun;Pashtun;pachtoune;Paschtunen;;Pashtún;;;;;;;;;x
tajik;Tajik;tadjik;Tadschiken;;Tayiko;;;;;;;;;x
siculo_arabic;Siculo-Arabic;sicilienne-arabe;Sizilianisch-arabischen;;Siciliano-Árabe;;;;;;;;;x
griko;Griko;griko;Griko;;Griko;;;;;;;;;x
norsewelsh;Norse-Briton;nordique-breton;Norse-Briton;;Norse-Briton;;;;;;;;;x
somali;Somali;somali;Somali;;Somalí;;;;;;;;;x
tatar;Crimean Tatar;tatar de Crimée;Crimean Tatar;;Crimean Tatar;;;;;;;;;x
sudanese_arabic;Sudanese;soudanais;Sudanese;;Sudanese;;;;;;;;;x
chagatai;Chagatai;tchaghataï;Chagatai;;Chagatai;;;;;;;;;x
swahili;Swahili;swahili;Swahili;;Swahili;;;;;;;;;x
indian;Indian;indien;Indian;;Indian;;;;;;;;;x
gujarati;Gujarati;gujarati;Gujarati;;Gujarati;;;;;;;;;x
icelandic;Icelandic;islandais;;;;;;;;;;;;x
tamil;Tamil;tamil;;;;;;;;;;;;x
sindhi;Sindhi;sindhi;;;;;;;;;;;;x
chinese;Chinese;chinois;;;;;;;;;;;;x
japanese;Japanese;japonais;;;;;;;;;;;;x
korean;Korean;coréen;;;;;;;;;;;;x
vietnamese;Vietnamese;vietnamien;;;;;;;;;;;;x
serer;Serer;serer;;;;;;;;;;;;x
crimean_jewish;Crimean Jewish;juif de Crimée;;;;;;;;;;;;x
uighur;Uighur;uighur;;;;;;;;;;;;x
songhai;Songhai;songhai;;;;;;;;;;;;x
cumbrian;Cumbrian;cumbrien;;;;;;;;;;;;x
norsegael;Norse-Gael;nordique-gaélique;;;;;;;;;;;;x
tibetan;Tibetan;tibetain;;;;;;;;;;;;x
nilotic;Nilotic;nilotique;;;;;;;;;;;;x
daju;Daju;daju;;;;;;;;;;;;x
zaghawa;Zaghawa;zaghawa;;;;;;;;;;;;x
kanuri;Kanuri;kanuri;;;;;;;;;;;;x
hausa;Hausa;hausa;;;;;;;;;;;;x
central_african;Central African;centrafricain;;;;;;;;;;;;x
chinese_jewish;Chinese Jewish;;;;;;;;;;;;;x
bukharim;Bukharan Jewish;;;;;;;;;;;;;x
southeast_asian;Southeast Asian;;;;;;;;;;;;;x
malay;Malay;;;;;;;;;;;;;x
khmer;Khmer;;;;;;;;;;;;;x
cham;Cham;;;;;;;;;;;;;x
javanese;Javanese;;;;;;;;;;;;;x
tagalog;Tagalog;;;;;;;;;;;;;x
moluccan;Moluccan;;;;;;;;;;;;;x
andaman;Andamanese;;;;;;;;;;;;;x
andamanese;Andamanese;;;;;;;;;;;;;x
papuan_group;Papuan;;;;;;;;;;;;;x
papuan;Papuan;;;;;;;;;;;;;x
taiwanese;Taiwanese;;;;;;;;;;;;;x
tai;Tai;;;;;;;;;;;;;x
formosan;Formosan;;;;;;;;;;;;;x
ryukyuan;Ryukyuan;;;;;;;;;;;;;x
indian_jewish;Indian Jewish;;;;;;;;;;;;;x
konkani;Konkani;konkani;;;;;;;;;;;;x
sinhala;Sinhala;sinhala;;;;;;;;;;;;x
lombard;Lombard;lombard;;;;;;;;;;;;x
punjabi;Punjabi;punjabi;;;;;;;;;;;;x
tocharian;Tocharian;tokharien;;;;;;;;;;;;x
himalayan;Himalayan;;;;;;;;;;;;;x
guanche;Guanche;guanche;;;;;;;;;;;;x
maghreb_jewish;Maghrebi Jewish;;;;;;;;;;;;;x
italian_jewish;Italian Jewish;;;;;;;;;;;;;x
caucasian_jewish;Caucasian Jewish;;;;;;;;;;;;;x
yemenite_jewish;Yemenite Jewish;;;;;;;;;;;;;x
norsebriton;Norse-Briton;nordique-breton;;;;;;;;;;;;x
parsi;Parsi;parsi;;;;;;;;;;;;x
serindian;Serindian;;;;;;;;;;;;;x
khotanese;Khotanese;;;;;;;;;;;;;x
tokharian;Tokharian;tokharien;;;;;;;;;;;;x
frisian;Frisian;frison;;;;;;;;;;;;x
#ETC;;;;;;;;;;;;;;x
baron_andalusian_arabic;Wâli;Wâli;Wâli;;Valí;;;;;;;;;x
baron_female_andalusian_arabic;Wâlia;Walia;Wâlia;;Valía;;;;;;;;;x
barony_of_andalusian_arabic;Wilayah of;Wilaya de;Wilayah von;;Vilayato de;;;;;;;;;x
count_andalusian_arabic;Sheikh;Cheikh;Scheich;;Jeque;;;;;;;;;x
count_female_andalusian_arabic;Shaykhah;Cheykha;Shaykhah;;Jequesa;;;;;;;;;x
county_of_andalusian_arabic;Sheikhdom of;Cheikat de;Scheichtum von;;Dominio del Jeque;;;;;;;;;x
duke_andalusian_arabic;Emir;Émir;Emir;;Emir;;;;;;;;;x
duke_female_andalusian_arabic;Emira;Émirat;Emirin;;Emira;;;;;;;;;x
duchy_of_andalusian_arabic;Emirate of;Émirat de;Emirat von;;Emirato de;;;;;;;;;x
king_andalusian_arabic;Sultan;Sultan;Sultan;;Sultán;;;;;;;;;x
king_female_andalusian_arabic;Sultana;Sultane;Sultanin;;Sultana;;;;;;;;;x
kingdom_of_andalusian_arabic;Sultanate of;Sultanat de;Sultanat von;;Sultanato de;;;;;;;;;x
barony_andalusian_arabic;Wilayah;Wilaya;Wilayah;;Vilayato;;;;;;;;;x
county_andalusian_arabic;Sheikhdom;Cheikat;Scheichtum;;Dominio del Jeque;;;;;;;;;x
duchy_andalusian_arabic;Emirate;Émirat;Emirat;;Emirato;;;;;;;;;x
kingdom_andalusian_arabic;Sultanate;Sultanat;Sultanat;;Sultanato;;;;;;;;;x
job_chancellor_andalusian_arabic;Grand Vizier;Grand Vizir;Großwesir;;Gran Visir;;;;;;;;;x
emperor_andalusian_arabic;Badshah;Badshah;Badshah;;Badshah;;;;;;;;;x
emperor_berber;Badshah;Badshah;Badshah;;Badshah;;;;;;;;;x
title_tanist_saxon;Aetheling;Aetheling;Aetheling;;Aetheling;;;;;;;;;x
title_tanist_welsh;Edling;Edling;Edling;;Edling;;;;;;;;;x
arabic;Semitic;Semitic;Semitic;Semitic;;;;;;;;;x
#duke_lombard;Prince;Prince;Prinz;;Príncipe;;;;;;;;;x
#duke_female_lombrd;Princess;Princesse;Prinzessin;;Princesa;;;;;;;;;x
#duchy_of_lombard;Principality of;Principauté de;Fürstentum;;Principado de;;;;;;;;;x
