#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
######Constantinople...;;;;;;;;;;;;x;;
ca_sacred_palace;Sacred Palace;Grand Palais;;;;;;;;;;;;x
ca_sacred_palace_desc;The Great Palace of Constantinople, also known as the Sacred Palace, is a large Imperial Byzantine palace complex located in the south-eastern end of the peninsula of Constantinople. It serves as the main royal residence of the Eastern Roman emperors and is an important centre of imperial administration.;;;;;;;;;;;;;x
tp_hagiasophia;Hagia Sophia;Sainte-Sophie;;;;;;;;;;;;x
tp_hagiasophia_desc;Hagia Sophia is a Christian patriarchal basilica, a wonder of the world and a symbol of Constantinople.;;;;;;;;;;;;;x
ca_holy_apostles;Church of the Holy Apostles;Église des Saints-Apôtres;;;;;;;;;;;;x
ca_holy_apostles_desc;The Church of the Holy Apostles was was originally built in the fourth century, and was the main necropole of the emperors and empresses of the Eastern Roman Empire..;;;;;;;;;;;;x
ca_con_library;Imperial Library;Bibliothèque impériale de Constantinople;Kaiserliche Bibliothek von Konstantinopel;;La Biblioteca Imperial de Constantinopla;;;;;;;;;x
ca_con_library_desc;The Imperial Library of Constantinople is one of the last of the great libraries of the ancient world. Long after the destruction of the Great Library of Alexandria, it preserved the knowledge of the ancient Greeks and Romans.;La bibliothèque impériale de Constantinople fondée au IV? siècle par l'empereur romain Constance II à Constantinople était une des plus importantes bibliothèques de l'antiquité et du Moyen Âge.;Die Kaiserliche Bibliothek von Konstantinopel war eine durch Kaiser Constantius II. In Auftrag gegebene Bibliothek in der Hauptstadt des Byzantinischen Reiches.;;La Biblioteca Imperial de Constantinopla es una de las últimas de las grandes bibliotecas del mundo antiguo. Mucho tiempo después de la destrucción de la Gran Biblioteca de Alejandría, que conserva el conocimiento de los antiguos griegos y romanos.;;;;;;;;;x
######Mausoleum of Halicarnassus...;;;;;;;;;;;;x;;
ca_hal_maus;Mausoleum of Halicarnassus;Mausolée d'Halicarnasse;Mausoleum von Halikarnassos;;Mausoleo de Halicarnaso;;;;;;;;;x
ca_hal_maus_desc;The Mausoleum of Halicarnassus was a tomb built for Mausolus, a satrap in the Persian Empire, and Artemisia II of Caria, who was both his wife and his sister.;Le mausolée d'Halicarnasse est le tombeau de Mausole, satrape perse achéménide de Carie, mort en 353 av. J.-C.;Das Mausoleum von Halikarnassos war das prachtvolle Grabmal von Maussolos, einem Kleinkönig von Karien und persischen Satrapen. Das Mausoleum gehörte zu den „Sieben Weltwundern“ der Antike.;;El Mausoleo de Halicarnaso o el Sepulcro de Mausoleion fue una tumba construida entre el año 353 y el 350 a. C.1 en Halicarnaso para Mausolo, un sátrapa en el Imperio persa. ;;;;;;;;;x
######Hadrian's and Antonine Wall...;;;;;;;;;;;;x;;
ca_hadrian_wall_0;Remnants of Hadrian's Wall;Les restes du mur d'Hadrien;;;;;;;;;;;;x
ca_hadrian_wall_0_desc;Hadrian's Wall was a defensive barrier built during the reign of the Roman emperor Hadrian with the intent of protecting the northwestern frontier of the Roman province of Britain from external invaders. It served as a delimitation of the northern frontier of the Roman Empire, with the Picts and Britons living north of it. In total it ran for 118 km from Wallsend (Segedunum) on the River Tyne in the east up to Bowness on the Solway Firth in the west.;;;;;;;;;;;;;x
tb_hadrian_wall_0;Remnants of Hadrian's Wall;Les restes du mur d'Hadrien;;;;;;;;;;;;x
tb_hadrian_wall_0_desc;Hadrian's Wall was a defensive barrier built during the reign of the Roman emperor Hadrian with the intent of protecting the northwestern frontier of the Roman province of Britain from external invaders. It served as a delimitation of the northern frontier of the Roman Empire, with the Picts and Britons living north of it. In total it ran for 118 km from Wallsend (Segedunum) on the River Tyne in the east up to Bowness on the Solway Firth in the west.;;;;;;;;;;;;;x
ct_hadrian_wall_0;Remnants of Hadrian's Wall;Les restes du mur d'Hadrien;;;;;;;;;;;;x
ct_hadrian_wall_0_desc;Hadrian's Wall was a defensive barrier built during the reign of the Roman emperor Hadrian with the intent of protecting the northwestern frontier of the Roman province of Britain from external invaders. It served as a delimitation of the northern frontier of the Roman Empire, with the Picts and Britons living north of it. In total it ran for 118 km from Wallsend (Segedunum) on the River Tyne in the east up to Bowness on the Solway Firth in the west.;;;;;;;;;;;;;x
tp_hadrian_wall_0;Remnants of Hadrian's Wall;Les restes du mur d'Hadrien;;;;;;;;;;;;x
tp_hadrian_wall_0_desc;Hadrian's Wall was a defensive barrier built during the reign of the Roman emperor Hadrian with the intent of protecting the northwestern frontier of the Roman province of Britain from external invaders. It served as a delimitation of the northern frontier of the Roman Empire, with the Picts and Britons living north of it. In total it ran for 118 km from Wallsend (Segedunum) on the River Tyne in the east up to Bowness on the Solway Firth in the west.;;;;;;;;;;;;;x
ca_antonine_wall_0;Remnants of Antonine Wall;Vestiges du mur d'Antonin;;;;;;;;;;;;x
