#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
tall;Tall;Tall;Tall;;Tall;;;;;;;;;x
tall_desc;This character is of considerable stature, taller than most.; This character is of considerable stature, taller than most.; This character is of considerable stature, taller than most.;; This character is of considerable stature, taller than most.;;;;;;;;;x
agile;Agile;Agile;Agile;;Agile;;;;;;;;;x
agile_desc;This character is nimbler and quicker than most.;This character is nimbler and quicker than most.;This character is nimbler and quicker than most.;;This character is nimbler and quicker than most.;;;;;;;;;x
perceptive;Perceptive;Perceptive;Perceptive;;Perceptive;;;;;;;;;x
perceptive_desc;This character is sharp, possessing excellent senses and intuition.;This character is sharp, possessing excellent senses and intuition.;This character is sharp, possessing excellent senses and intuition.;;This character is sharp, possessing excellent senses and intuition.;;;;;;;;;x
melodious_voice;Melodious Voice;Melodious Voice;Melodious Voice;;Melodious Voice;;;;;;;;;x
melodious_voice_desc;This character has a pleasing voice that sounds like the singing of birds, or a choir of angels.; This character has a pleasing voice that sounds like the singing of birds, or a choir of angels.; This character has a pleasing voice that sounds like the singing of birds, or a choir of angels.;; This character has a pleasing voice that sounds like the singing of birds, or a choir of angels.;;;;;;;;;x
powerful_voice;Powerful Voice;Powerful Voice;Powerful Voice;;Powerful Voice;;;;;;;;;x
powerful_voice_desc;This character speaks in an imposing tone that can persuade friends, frighten enemies, and inspire subordinates.; This character speaks in an imposing tone that can persuade friends, frighten enemies, and inspire subordinates.; This character speaks in an imposing tone that can persuade friends, frighten enemies, and inspire subordinates.;; This character speaks in an imposing tone that can persuade friends, frighten enemies, and inspire subordinates.;;;;;;;;;x
ambidextrous;Ambidextrous;Ambidextrous;Ambidextrous;;Ambidextrous;;;;;;;;;x
ambidextrous_desc;This character can naturally use both hands with equal skill. As a result, they are more efficient in whatever they do, whether it is swinging swords or writing letters.;x;x;;x;;;;;;;;;x
lefthanded;Lefthanded;Lefthanded;Lefthanded;;Lefthanded;;;;;;;;;x
lefthanded_desc;This character is better at using their left hand than their right hand. It offers them many advantages when dealing with others, but it is viewed as impious by religious authorities.;x;x;;x;;;;;;;;;x
wrymouth;Wrymouth;Wrymouth;Wrymouth;;Wrymouth;;;;;;;;;x
wrymouth_desc;This character was born with an oddly-shaped chin or jaw – perhaps it is too big, or too small. Hopefully, this facial feature won’t spread with interbreeding.;x;x;;x;;;;;;;;;x
absentminded;Absent-Minded;Absent-Minded;Absent-Minded;;Absent-Minded;;;;;;;;;x
absentminded_desc;This erratic character was born with a scatterbrained temperament. They tend to forget things easily, get distracted too easily, or both. This behavior may be endearing to some, but to others it is an annoyance.;x;x;;x;;;;;;;;;x
deaf;Deaf;Deaf;Deaf;;Deaf;;;;;;;;;x
deaf_desc;This character is hard of hearing, or, worse, cannot hear at all. Such a disability limits their ability to function.;x;x;;x;;;;;;;;;x
lip_reader;Lip-reader;Lip-reader;Lip-reader;;Lip-reader;;;;;;;;;x
lip_reader_desc;This character has overcome their deafness by learning how to read lips.;This character has overcome their deafness by learning how to read lips.;This character has overcome their deafness by learning how to read lips.;;This character has overcome their deafness by learning how to read lips.;;;;;;;;;x
wrymouth_death;of health complications due to wrymouth;of health complications due to wrymouth;of health complications due to wrymouth;;of health complications due to wrymouth;;;;;;;;;x
EVTDESC1000109212;I’ve been deaf for as long as I can remember. I can’t understand anything when people talk to me, and it’s a real hassle when I communicate with anybody. There must be a way for me to understand others’ speech. Perhaps I can try to watch the way their lips move…;I’ve been deaf for as long as I can remember. I can’t understand anything when people talk to me, and it’s a real hassle when I communicate with anybody. There must be a way for me to understand others’ speech. Perhaps I can try to watch the way their lips move…;I’ve been deaf for as long as I can remember. I can’t understand anything when people talk to me, and it’s a real hassle when I communicate with anybody. There must be a way for me to understand others’ speech. Perhaps I can try to watch the way their lips move…;;I’ve been deaf for as long as I can remember. I can’t understand anything when people talk to me, and it’s a real hassle when I communicate with anybody. There must be a way for me to understand others’ speech. Perhaps I can try to watch the way their lips move…;;;;;;;;;x
EVTOPTA1000109212;Let’s try this!;Let’s try this!;Let’s try this!;;Let’s try this!;;;;;;;;;x
EVTOPTB1000109212;I should carefully observe everyone’s lips when they speak.;I should carefully observe everyone’s lips when they speak.;I should carefully observe everyone’s lips when they speak.;;I should carefully observe everyone’s lips when they speak.;;;;;;;;;x
EVTOPTC1000109212;I know a few tricks here and there that may help…;I know a few tricks here and there that may help…;I know a few tricks here and there that may help…;;I know a few tricks here and there that may help…;;;;;;;;;x
